@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,2543,0,55704,0,1,1,0.043659,1,0.956341,0.083665,1,1,0
1,2543,0,35362,20342,0.63482,1,0.067089,1,0.932911,0.125742,0.650763,1.536657,0
2,2543,0,35361,20343,0.634802,1,0.067091,1,0.932909,0.125745,0.650746,1.536698,0
3,2543,0,35360,20344,0.634784,1,0.067092,1,0.932908,0.125748,0.650729,1.536739,0
4,2543,0,35359,20345,0.634766,1,0.067094,1,0.932906,0.125751,0.650712,1.536779,0
5,2543,0,35358,20346,0.634748,1,0.067096,1,0.932904,0.125754,0.650694,1.53682,0
6,2543,0,35357,20347,0.63473,1,0.067098,1,0.932902,0.125757,0.650677,1.53686,0
7,2543,0,35356,20348,0.634712,1,0.067099,1,0.932901,0.12576,0.65066,1.536901,0
8,2543,0,35355,20349,0.634694,1,0.067101,1,0.932899,0.125763,0.650643,1.536941,0
9,2543,0,35354,20350,0.634676,1,0.067103,1,0.932897,0.125767,0.650626,1.536982,0
10,2543,0,35353,20351,0.634658,1,0.067105,1,0.932895,0.12577,0.650609,1.537022,0
11,2543,0,35352,20352,0.63464,1,0.067106,1,0.932894,0.125773,0.650591,1.537063,0
12,2543,0,35351,20353,0.634622,1,0.067108,1,0.932892,0.125776,0.650574,1.537103,0
13,2543,0,35350,20354,0.634604,1,0.06711,1,0.93289,0.125779,0.650557,1.537144,0
14,2543,0,35349,20355,0.634586,1,0.067112,1,0.932888,0.125782,0.65054,1.537185,0
15,2543,0,35348,20356,0.634568,1,0.067114,1,0.932886,0.125785,0.650523,1.537225,0
16,2543,0,35347,20357,0.63455,1,0.067115,1,0.932885,0.125788,0.650506,1.537266,0
17,2543,0,35346,20358,0.634533,1,0.067117,1,0.932883,0.125791,0.650488,1.537306,0
18,2543,0,35345,20359,0.634515,1,0.067119,1,0.932881,0.125795,0.650471,1.537347,0
19,2543,0,35344,20360,0.634497,1,0.067121,1,0.932879,0.125798,0.650454,1.537387,0
20,2543,0,35343,20361,0.634479,1,0.067122,1,0.932878,0.125801,0.650437,1.537428,0
21,2543,0,35342,20362,0.634461,1,0.067124,1,0.932876,0.125804,0.65042,1.537469,0
22,2543,0,35341,20363,0.634443,1,0.067126,1,0.932874,0.125807,0.650403,1.537509,0
23,2543,0,35340,20364,0.634425,1,0.067128,1,0.932872,0.12581,0.650385,1.53755,0
24,2543,0,35339,20365,0.634407,1,0.06713,1,0.93287,0.125813,0.650368,1.53759,0
25,2543,0,35338,20366,0.634389,1,0.067131,1,0.932869,0.125816,0.650351,1.537631,0
26,2543,0,35337,20367,0.634371,1,0.067133,1,0.932867,0.125819,0.650334,1.537672,0
27,2543,0,35336,20368,0.634353,1,0.067135,1,0.932865,0.125823,0.650317,1.537712,0
28,2543,0,35335,20369,0.634335,1,0.067137,1,0.932863,0.125826,0.6503,1.537753,0
29,2543,0,35334,20370,0.634317,1,0.067138,1,0.932862,0.125829,0.650282,1.537793,0
30,2543,0,35333,20371,0.634299,1,0.06714,1,0.93286,0.125832,0.650265,1.537834,0
31,2543,0,35332,20372,0.634281,1,0.067142,1,0.932858,0.125835,0.650248,1.537875,0
32,2543,0,35331,20373,0.634263,1,0.067144,1,0.932856,0.125838,0.650231,1.537915,0
33,2543,0,35330,20374,0.634245,1,0.067145,1,0.932855,0.125841,0.650214,1.537956,0
34,2543,0,35329,20375,0.634227,1,0.067147,1,0.932853,0.125844,0.650197,1.537996,0
35,2543,0,35328,20376,0.634209,1,0.067149,1,0.932851,0.125847,0.650179,1.538037,0
36,2543,0,35327,20377,0.634191,1,0.067151,1,0.932849,0.125851,0.650162,1.538078,0
37,2543,0,35326,20378,0.634173,1,0.067153,1,0.932847,0.125854,0.650145,1.538118,0
38,2543,0,35325,20379,0.634156,1,0.067154,1,0.932846,0.125857,0.650128,1.538159,0
39,2543,0,35324,20380,0.634138,1,0.067156,1,0.932844,0.12586,0.650111,1.538199,0
40,2543,0,35323,20381,0.63412,1,0.067158,1,0.932842,0.125863,0.650094,1.53824,0
41,2543,0,35322,20382,0.634102,1,0.06716,1,0.93284,0.125866,0.650076,1.538281,0
42,2543,0,35321,20383,0.634084,1,0.067161,1,0.932839,0.125869,0.650059,1.538321,0
43,2543,0,35320,20384,0.634066,1,0.067163,1,0.932837,0.125872,0.650042,1.538362,0
44,2543,0,35319,20385,0.634048,1,0.067165,1,0.932835,0.125876,0.650025,1.538403,0
45,2543,0,35318,20386,0.63403,1,0.067167,1,0.932833,0.125879,0.650008,1.538443,0
46,2543,0,35317,20387,0.634012,1,0.067169,1,0.932831,0.125882,0.649991,1.538484,0
47,2543,0,35316,20388,0.633994,1,0.06717,1,0.93283,0.125885,0.649973,1.538525,0
48,2543,0,35315,20389,0.633976,1,0.067172,1,0.932828,0.125888,0.649956,1.538565,0
49,2543,0,35314,20390,0.633958,1,0.067174,1,0.932826,0.125891,0.649939,1.538606,0
50,2543,0,35313,20391,0.63394,1,0.067176,1,0.932824,0.125894,0.649922,1.538646,0
51,2543,0,35312,20392,0.633922,1,0.067177,1,0.932823,0.125897,0.649905,1.538687,0
52,2543,0,35311,20393,0.633904,1,0.067179,1,0.932821,0.1259,0.649888,1.538728,0
